groupe,code_h,ligne,valeurs
Charge,2.8.,LINGE ET BLANCHISSAGE,"{'Réel Annuelle 2022': '3734 €', 'Réel Annuelle 2023': '4359 €', 'Réel Annuelle 2024': '3350 €', 'Budget Annuelle 2025': '3602 €', 'Prévision Annuelle 2025': '2718 €', 'Budget Annuelle 2026': '2435 €'}"
Charge,2.8.1.,Location de linge + nettoyage de linge,"{'Réel Annuelle 2022': '3734 €', 'Réel Annuelle 2023': '4359 €', 'Réel Annuelle 2024': '3350 €', 'Budget Annuelle 2025': '3602 €', 'Prévision Annuelle 2025': '2718 €', 'Budget Annuelle 2026': '2435 €'}"
Charge,2.9.,FOURNITURES D'EXPLOITATION,"{'Réel Annuelle 2022': '19855 €', 'Réel Annuelle 2023': '13309 €', 'Réel Annuelle 2024': '3022 €', 'Budget Annuelle 2025': '2948 €', 'Prévision Annuelle 2025': '7052 €', 'Budget Annuelle 2026': '6291 €'}"
Charge,2.9.1.,Produits et matériel d'entretien,"{'Réel Annuelle 2022': '8229 €', 'Réel Annuelle 2023': '9642 €', 'Réel Annuelle 2024': '2962 €', 'Budget Annuelle 2025': '2948 €', 'Prévision Annuelle 2025': '3683 €', 'Budget Annuelle 2026': '2874 €'}"
Charge,2.9.3.,Vaisselle logement et cafétaria,"{'Réel Annuelle 2022': '4740 €', 'Réel Annuelle 2023': '3634 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.9.3.2.,Vaisselle,"{'Réel Annuelle 2022': '4740 €', 'Réel Annuelle 2023': '3634 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.9.5.,Achat petit équip. et fourn. / charges diverses d'exploit,"{'Réel Annuelle 2022': '6886 €', 'Réel Annuelle 2023': '32 €', 'Réel Annuelle 2024': '59 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '3369 €', 'Budget Annuelle 2026': '3417 €'}"
Charge,2.9.5.4.,Achat - charges diverses d'exploitation,"{'Réel Annuelle 2022': '188 €', 'Réel Annuelle 2023': '32 €', 'Réel Annuelle 2024': '59 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '3369 €', 'Budget Annuelle 2026': '3417 €'}"
Charge,2.9.5.7.,Divers matériel et mobilier,"{'Réel Annuelle 2022': '6698 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.10.,ACHAT ALIMENTAIRE PDJ,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.12.,"LOCATIONS, HONORAIRES, SACEM ET TV","{'Réel Annuelle 2022': '6319 €', 'Réel Annuelle 2023': '8613 €', 'Réel Annuelle 2024': '4647 €', 'Budget Annuelle 2025': '11866 €', 'Prévision Annuelle 2025': '13217 €', 'Budget Annuelle 2026': '15113 €'}"
Charge,2.12.2.,Location immobilière (parking),"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '2028 €'}"
Charge,2.12.2.1.,Location Immobilières,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '2028 €'}"
Charge,2.12.3.,Honoraire contentieux Gestion,"{'Réel Annuelle 2022': '6319 €', 'Réel Annuelle 2023': '8580 €', 'Réel Annuelle 2024': '4680 €', 'Budget Annuelle 2025': '11866 €', 'Prévision Annuelle 2025': '8964 €', 'Budget Annuelle 2026': '9113 €'}"
Charge,2.12.3.1.,Honoraire - juridiques et contentieux,"{'Réel Annuelle 2022': '3272 €', 'Réel Annuelle 2023': '8455 €', 'Réel Annuelle 2024': '4662 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '5675 €', 'Budget Annuelle 2026': '5759 €'}"
Charge,2.12.3.2.,Honoraire - divers,"{'Réel Annuelle 2022': '3047 €', 'Réel Annuelle 2023': '125 €', 'Réel Annuelle 2024': '18 €', 'Budget Annuelle 2025': '11866 €', 'Prévision Annuelle 2025': '3288 €', 'Budget Annuelle 2026': '3354 €'}"
Charge,2.12.5.,Sacem,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '33 €', 'Réel Annuelle 2024': '-33 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '2 €'}"
Charge,2.12.6.,Redevance audio-visuelle,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.12.8.,Sous-traitance générale,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '4253 €', 'Budget Annuelle 2026': '3969 €'}"
Charge,2.13.,DEPLACEMENT ET MISSION,"{'Réel Annuelle 2022': '905 €', 'Réel Annuelle 2023': '2072 €', 'Réel Annuelle 2024': '1120 €', 'Budget Annuelle 2025': '3124 €', 'Prévision Annuelle 2025': '1603 €', 'Budget Annuelle 2026': '1635 €'}"
Charge,2.14.,PUBLICITE,"{'Réel Annuelle 2022': '4762 €', 'Réel Annuelle 2023': '2903 €', 'Réel Annuelle 2024': '3011 €', 'Budget Annuelle 2025': '5327 €', 'Prévision Annuelle 2025': '2874 €', 'Budget Annuelle 2026': '8071 €'}"
Charge,2.14.1.,Publicité locale (résidence),"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '102 €', 'Réel Annuelle 2024': '75 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '344 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.14.7.,Publicité Estudines,"{'Réel Annuelle 2022': '3947 €', 'Réel Annuelle 2023': '1788 €', 'Réel Annuelle 2024': '2036 €', 'Budget Annuelle 2025': '5327 €', 'Prévision Annuelle 2025': '2530 €', 'Budget Annuelle 2026': '8071 €'}"
Charge,2.14.10.,"Autres frais commerciaux  (ex : touraction, mno…)","{'Réel Annuelle 2022': '815 €', 'Réel Annuelle 2023': '1013 €', 'Réel Annuelle 2024': '900 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,2.15.,Publicité Internet,"{'Réel Annuelle 2022': '3122 €', 'Réel Annuelle 2023': '2857 €', 'Réel Annuelle 2024': '3063 €', 'Budget Annuelle 2025': '5781 €', 'Prévision Annuelle 2025': '4452 €', 'Budget Annuelle 2026': '4056 €'}"
Charge,2.16.,FOURNITURES ADMINISTRATIVES,"{'Réel Annuelle 2022': '976 €', 'Réel Annuelle 2023': '1881 €', 'Réel Annuelle 2024': '826 €', 'Budget Annuelle 2025': '900 €', 'Prévision Annuelle 2025': '1283 €', 'Budget Annuelle 2026': '1272 €'}"
Charge,2.16.1.,"Fournitures (bureau, contrat, reprographie…)","{'Réel Annuelle 2022': '859 €', 'Réel Annuelle 2023': '1721 €', 'Réel Annuelle 2024': '521 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '745 €', 'Budget Annuelle 2026': '725 €'}"
Charge,2.16.1.1.,Fournitures administratives,"{'Réel Annuelle 2022': '741 €', 'Réel Annuelle 2023': '957 €', 'Réel Annuelle 2024': '266 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '464 €', 'Budget Annuelle 2026': '466 €'}"
Charge,2.16.1.3.,Reprographie,"{'Réel Annuelle 2022': '118 €', 'Réel Annuelle 2023': '764 €', 'Réel Annuelle 2024': '255 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '280 €', 'Budget Annuelle 2026': '260 €'}"
Charge,2.16.2.,Frais postaux,"{'Réel Annuelle 2022': '13 €', 'Réel Annuelle 2023': '27 €', 'Réel Annuelle 2024': '170 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '150 €', 'Budget Annuelle 2026': '150 €'}"
Charge,2.16.3.,Frais bancaires (compte séparé),"{'Réel Annuelle 2022': '104 €', 'Réel Annuelle 2023': '133 €', 'Réel Annuelle 2024': '135 €', 'Budget Annuelle 2025': '900 €', 'Prévision Annuelle 2025': '389 €', 'Budget Annuelle 2026': '396 €'}"
Charge,2.16.3.1.,Frais bancaires,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '900 €', 'Prévision Annuelle 2025': '300 €', 'Budget Annuelle 2026': '306 €'}"
Charge,2.16.3.2.,Frais financiers,"{'Réel Annuelle 2022': '104 €', 'Réel Annuelle 2023': '133 €', 'Réel Annuelle 2024': '135 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '89 €', 'Budget Annuelle 2026': '91 €'}"
Charge,2.17.,TELEPHONIE - INTERNET - INFORMATIQUE,"{'Réel Annuelle 2022': '25421 €', 'Réel Annuelle 2023': '28433 €', 'Réel Annuelle 2024': '25401 €', 'Budget Annuelle 2025': '27491 €', 'Prévision Annuelle 2025': '27650 €', 'Budget Annuelle 2026': '28267 €'}"
Charge,2.17.1.,Téléphone (C° et Abonnement),"{'Réel Annuelle 2022': '2586 €', 'Réel Annuelle 2023': '4854 €', 'Réel Annuelle 2024': '1622 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '1527 €', 'Budget Annuelle 2026': '1628 €'}"
Charge,2.17.2.,Internet (location de ligne),"{'Réel Annuelle 2022': '22163 €', 'Réel Annuelle 2023': '22907 €', 'Réel Annuelle 2024': '23083 €', 'Budget Annuelle 2025': '27491 €', 'Prévision Annuelle 2025': '25413 €', 'Budget Annuelle 2026': '25922 €'}"
Charge,2.17.3.,Informatique,"{'Réel Annuelle 2022': '672 €', 'Réel Annuelle 2023': '672 €', 'Réel Annuelle 2024': '696 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '710 €', 'Budget Annuelle 2026': '717 €'}"
Charge,2.17.3.2.,Informatique - Logiciels / licences,"{'Réel Annuelle 2022': '672 €', 'Réel Annuelle 2023': '672 €', 'Réel Annuelle 2024': '696 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '710 €', 'Budget Annuelle 2026': '717 €'}"
Marge,3.,MARGE 1,"{'Réel Annuelle 2022': '1181378 €', 'Réel Annuelle 2023': '1452222 €', 'Réel Annuelle 2024': '1529494 €', 'Budget Annuelle 2025': '1555249 €', 'Prévision Annuelle 2025': '1515435 €', 'Budget Annuelle 2026': '1619405 €'}"
Chiffre d'affaire,4.,% DES RECETTES TOTALES,"{'Réel Annuelle 2022': '63.65 %', 'Réel Annuelle 2023': '70.31 %', 'Réel Annuelle 2024': '69.73 %', 'Budget Annuelle 2025': '70.51 %', 'Prévision Annuelle 2025': '69.44 %', 'Budget Annuelle 2026': '72.89 %'}"
Charge,5.,Total 1,"{'Réel Annuelle 2022': '1003325 €', 'Réel Annuelle 2023': '1032612 €', 'Réel Annuelle 2024': '1088310 €', 'Budget Annuelle 2025': '1128644 €', 'Prévision Annuelle 2025': '1115597 €', 'Budget Annuelle 2026': '1125933 €'}"
Charge,5.1.,AMORTISSEMENT et CREDIT BAIL,"{'Réel Annuelle 2022': '15318 €', 'Réel Annuelle 2023': '25150 €', 'Réel Annuelle 2024': '28095 €', 'Budget Annuelle 2025': '27076 €', 'Prévision Annuelle 2025': '23186 €', 'Budget Annuelle 2026': '34447 €'}"
Charge,5.1.1.,Loyer location financière et Crédit bail,"{'Réel Annuelle 2022': '399 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.1.1.1.,Loyer - Véhicule,"{'Réel Annuelle 2022': '286 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.1.1.4.,Loyer - Divers,"{'Réel Annuelle 2022': '113 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.1.2.,Amortissement matériel,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '28 €', 'Prévision Annuelle 2025': '3 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.1.2.1.,Amortissement - Téléphonie,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '28 €', 'Prévision Annuelle 2025': '3 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.1.3.,Amortissement Mobilier Travaux,"{'Réel Annuelle 2022': '13218 €', 'Réel Annuelle 2023': '19728 €', 'Réel Annuelle 2024': '21036 €', 'Budget Annuelle 2025': '27048 €', 'Prévision Annuelle 2025': '17246 €', 'Budget Annuelle 2026': '25200 €'}"
Charge,5.1.3.1.,Mat. Para Hôtelier - Amortissement,"{'Réel Annuelle 2022': '328 €', 'Réel Annuelle 2023': '328 €', 'Réel Annuelle 2024': '606 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '218 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.1.3.3.,Mobilier - Amortissement,"{'Réel Annuelle 2022': '12890 €', 'Réel Annuelle 2023': '19401 €', 'Réel Annuelle 2024': '20430 €', 'Budget Annuelle 2025': '27048 €', 'Prévision Annuelle 2025': '17028 €', 'Budget Annuelle 2026': '25200 €'}"
Charge,5.1.4.,Agencement - Amortissement 80200003,"{'Réel Annuelle 2022': '1570 €', 'Réel Annuelle 2023': '5422 €', 'Réel Annuelle 2024': '7059 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '5938 €', 'Budget Annuelle 2026': '9246 €'}"
Charge,5.1.6.,Mobilier - CB et Loc Financière,"{'Réel Annuelle 2022': '131 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.2.,LOYERS REVERSES PROPRIETAIRES,"{'Réel Annuelle 2022': '838387 €', 'Réel Annuelle 2023': '857241 €', 'Réel Annuelle 2024': '882289 €', 'Budget Annuelle 2025': '918344 €', 'Prévision Annuelle 2025': '905812 €', 'Budget Annuelle 2026': '916686 €'}"
Charge,5.2.1.,Loyers reversés aux propriétaires,"{'Réel Annuelle 2022': '838387 €', 'Réel Annuelle 2023': '857241 €', 'Réel Annuelle 2024': '882289 €', 'Budget Annuelle 2025': '918344 €', 'Prévision Annuelle 2025': '905812 €', 'Budget Annuelle 2026': '916686 €'}"
Charge,5.3.,GROS TRAVAUX,"{'Réel Annuelle 2022': '26540 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '11312 €', 'Prévision Annuelle 2025': '3771 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.3.1.,Gros travaux Parties Privatives,"{'Réel Annuelle 2022': '0 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '11312 €', 'Prévision Annuelle 2025': '3771 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.3.2.,Gros travaux Parties Communes,"{'Réel Annuelle 2022': '26540 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,5.4.,INCIDENCE T.V.A,"{'Réel Annuelle 2022': '116325 €', 'Réel Annuelle 2023': '134424 €', 'Réel Annuelle 2024': '160708 €', 'Budget Annuelle 2025': '154251 €', 'Prévision Annuelle 2025': '169684 €', 'Budget Annuelle 2026': '163538 €'}"
Charge,5.4.1.,Incidence TVA (cc + prorata de gestion),"{'Réel Annuelle 2022': '97120 €', 'Réel Annuelle 2023': '114835 €', 'Réel Annuelle 2024': '140727 €', 'Budget Annuelle 2025': '133671 €', 'Prévision Annuelle 2025': '149104 €', 'Budget Annuelle 2026': '142546 €'}"
Charge,5.4.2.,Incidence TVA liée MDG et GARDIEN,"{'Réel Annuelle 2022': '19205 €', 'Réel Annuelle 2023': '19589 €', 'Réel Annuelle 2024': '19981 €', 'Budget Annuelle 2025': '20580 €', 'Prévision Annuelle 2025': '20580 €', 'Budget Annuelle 2026': '20992 €'}"
Charge,5.5.,CET (ex Taxe Pro),"{'Réel Annuelle 2022': '6754 €', 'Réel Annuelle 2023': '15796 €', 'Réel Annuelle 2024': '17219 €', 'Budget Annuelle 2025': '17662 €', 'Prévision Annuelle 2025': '13143 €', 'Budget Annuelle 2026': '11263 €'}"
Marge,6.,MARGE 2,"{'Réel Annuelle 2022': '178054 €', 'Réel Annuelle 2023': '419611 €', 'Réel Annuelle 2024': '441184 €', 'Budget Annuelle 2025': '426605 €', 'Prévision Annuelle 2025': '399838 €', 'Budget Annuelle 2026': '493472 €'}"
Chiffre d'affaire,7.,% DES RECETTES TOTALES,"{'Réel Annuelle 2022': '9.59 %', 'Réel Annuelle 2023': '20.32 %', 'Réel Annuelle 2024': '20.11 %', 'Budget Annuelle 2025': '19.34 %', 'Prévision Annuelle 2025': '18.32 %', 'Budget Annuelle 2026': '22.21 %'}"
Charge,8.,Total 2,"{'Réel Annuelle 2022': '138837 €', 'Réel Annuelle 2023': '169394 €', 'Réel Annuelle 2024': '216976 €', 'Budget Annuelle 2025': '204336 €', 'Prévision Annuelle 2025': '218108 €', 'Budget Annuelle 2026': '195815 €'}"
Charge,8.1.,PRESTATIONS INTERNES (Y/C Honoraires syndic),"{'Réel Annuelle 2022': '108997 €', 'Réel Annuelle 2023': '133356 €', 'Réel Annuelle 2024': '180184 €', 'Budget Annuelle 2025': '168703 €', 'Prévision Annuelle 2025': '181468 €', 'Budget Annuelle 2026': '168469 €'}"
Charge,8.2.,FRAIS DES SOCIETES,"{'Réel Annuelle 2022': '5248 €', 'Réel Annuelle 2023': '10696 €', 'Réel Annuelle 2024': '11449 €', 'Budget Annuelle 2025': '9531 €', 'Prévision Annuelle 2025': '11108 €', 'Budget Annuelle 2026': '2004 €'}"
Charge,8.2.1.,Frais des sociétés RSG,"{'Réel Annuelle 2022': '7140 €', 'Réel Annuelle 2023': '8666 €', 'Réel Annuelle 2024': '8877 €', 'Budget Annuelle 2025': '9143 €', 'Prévision Annuelle 2025': '9143 €', 'Budget Annuelle 2026': '0 €'}"
Charge,8.2.7.,Incidence congés payés,"{'Réel Annuelle 2022': '-1892 €', 'Réel Annuelle 2023': '2030 €', 'Réel Annuelle 2024': '2573 €', 'Budget Annuelle 2025': '388 €', 'Prévision Annuelle 2025': '1965 €', 'Budget Annuelle 2026': '2004 €'}"
Charge,8.3.,HONORAIRES SYNDIC,"{'Réel Annuelle 2022': '25342 €', 'Réel Annuelle 2023': '25342 €', 'Réel Annuelle 2024': '25342 €', 'Budget Annuelle 2025': '26102 €', 'Prévision Annuelle 2025': '25532 €', 'Budget Annuelle 2026': '25342 €'}"
Charge,8.4.,CHARGES EXCEPTIONNELLES,"{'Réel Annuelle 2022': '-750 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Charge,8.4.1.,Mobilier revendu aux propriétaires,"{'Réel Annuelle 2022': '-750 €', 'Réel Annuelle 2023': '0 €', 'Réel Annuelle 2024': '0 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '0 €', 'Budget Annuelle 2026': '0 €'}"
Marge,9.,MARGE 3,"{'Réel Annuelle 2022': '39216 €', 'Réel Annuelle 2023': '250217 €', 'Réel Annuelle 2024': '224208 €', 'Budget Annuelle 2025': '222269 €', 'Prévision Annuelle 2025': '181730 €', 'Budget Annuelle 2026': '297657 €'}"
Chiffre d'affaire,10.,% DES RECETTES TOTALES,"{'Réel Annuelle 2022': '2.11 %', 'Réel Annuelle 2023': '12.11 %', 'Réel Annuelle 2024': '10.22 %', 'Budget Annuelle 2025': '10.08 %', 'Prévision Annuelle 2025': '8.33 %', 'Budget Annuelle 2026': '13.40 %'}"
Chiffre d'affaire,11.,Dotations aux amortissements (CAPEX),"{'Réel Annuelle 2022': '14788 €', 'Réel Annuelle 2023': '25150 €', 'Réel Annuelle 2024': '28095 €', 'Budget Annuelle 2025': '27076 €', 'Prévision Annuelle 2025': '23186 €', 'Budget Annuelle 2026': '34447 €'}"
Marge,12.,EBITDA,"{'Réel Annuelle 2022': '54004 €', 'Réel Annuelle 2023': '275367 €', 'Réel Annuelle 2024': '252303 €', 'Budget Annuelle 2025': '249344 €', 'Prévision Annuelle 2025': '204917 €', 'Budget Annuelle 2026': '332103 €'}"
Charge,13.,CAPEX,"{'Réel Annuelle 2022': '95452 €', 'Réel Annuelle 2023': '34342 €', 'Réel Annuelle 2024': '15964 €', 'Budget Annuelle 2025': '0 €', 'Prévision Annuelle 2025': '19270 €', 'Budget Annuelle 2026': '0 €'}"
Marge,14.,FREE CASH FLOW,"{'Réel Annuelle 2022': '-41447 €', 'Réel Annuelle 2023': '241025 €', 'Réel Annuelle 2024': '236339 €', 'Budget Annuelle 2025': '249344 €', 'Prévision Annuelle 2025': '185646 €', 'Budget Annuelle 2026': '332103 €'}"
